"# THE WORKING COPY — this file at the art library root is the list the owner works from. The suite regenerates it (and a mirror under build/_image-prompts/) via npm run art-worklist in the suite repo; edit nothing by hand."
"# ART WORK LIST — generated by `node tools/gen-art-worklist.mjs` (npm run art-worklist). Regenerate rather than editing by hand."
"# FILENAMES USE HYPHENS (thri-kreen.webp) — NOT underscores (thri_kreen.webp). The sidecar wiring keys art to hyphenated entry-key slugs; a file named with underscores will never be found."
"# The filename is the slug of the document key (flags.<module>.key after the last dot) + .webp — never the build/ JSON filename, which can disagree with it."
"# The full save path opens every notes cell — every path points into the standalone art library (C:/Projects/FoundryVTT/DakksUltimateTokens/art/<kind-dir>/<slug>.webp). The library is edition-agnostic: the SAME slug reached from two packs or modules is ONE shared file, and the notes name every entry it serves."
"# THE LOOP: generate a batch -> save each file at the exact path in its notes cell -> npm run build in the suite (the build resolves library art by existence; a misnamed file silently does nothing — check the name against this CSV) -> reload Foundry."
"# Creature tokens: PNG with alpha first, verify per IMAGE-BRIEF.md §9, then convert to .webp. Sizes: Tiny–Large 512px, Huge 1024px, Gargantuan 1536px."
"# P1 = generate first (this module). P2 = later. P3 = a real library icon already exists — only for a unified look."
"# emblem = non-physical subject rendered as an item-icon-style sigil/effect; not in the original six kinds, added for full coverage (spells, proficiencies, skills, abilities, tables, journals). Classes are kind 'npc' (class portrait — archetypal member)."
"# CANON BACKLOG rows (kind monster, P3, no suite slot yet) merge the 5e SRD monster list (CC-BY mechanical fields only) with the Too Many Tokens name list (names only), deduped against our own creature rows — art pre-made for future campaigns/editions."
"filename","display_name","kind","size","token_type","visual_brief","priority","notes"
"chalk.webp","Chalk","gear","—","item icon","Knapped stone chalk","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/chalk.webp; library icon already assigned (icons/tools/scribal/pen-stylus-pencil.webp) — replace only for a unified look"
"chariot-riding.webp","Chariot, Riding","gear","—","item icon","Hardwood chariot riding","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/chariot-riding.webp; library icon already assigned (icons/environment/settlement/wagon.webp) — replace only for a unified look"
"chariot-war.webp","Chariot, War","gear","—","item icon","Hardwood chariot war","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/chariot-war.webp; library icon already assigned (icons/environment/settlement/wagon-black.webp) — replace only for a unified look"
"cheese.webp","Cheese","gear","—","item icon","Cloth cheese","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/cheese.webp; library icon already assigned (icons/consumables/food/cheese-wedge-swiss-yellow.webp) — replace only for a unified look"
"chest-large.webp","Chest, Large","gear","—","item icon","Hardwood chest large","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/chest-large.webp; library icon already assigned (icons/containers/chest/chest-oak-steel-brown.webp) — replace only for a unified look"
"chest-small.webp","Chest, Small","gear","—","item icon","Hardwood chest small","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/chest-small.webp; library icon already assigned (icons/containers/chest/chest-simple-walnut.webp) — replace only for a unified look"
"chicken.webp","Chicken","gear","—","item icon","Leather chicken","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/chicken.webp; library icon already assigned (icons/creatures/birds/chicken-hen-green.webp) — replace only for a unified look"
"city-rooms-common.webp","City Rooms, Common (per month)","gear","—","item icon","Leather city rooms common","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/city-rooms-common.webp; library icon already assigned (icons/environment/settlement/house-two-stories.webp) — replace only for a unified look"
"city-rooms-poor.webp","City Rooms, Poor (per month)","gear","—","item icon","Leather city rooms poor","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/city-rooms-poor.webp; library icon already assigned (icons/environment/settlement/hut.webp) — replace only for a unified look"
"cloak-common-fur.webp","Cloak, Common Fur","gear","—","item icon","Leather cloak common fur","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/cloak-common-fur.webp; library icon already assigned (icons/equipment/back/cloak-fur-brown.webp) — replace only for a unified look"
"cloak-good-cloth.webp","Cloak, Good Cloth","gear","—","item icon","Cloak good cloth","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/cloak-good-cloth.webp; library icon already assigned (icons/equipment/back/cloak-simple-tan.webp) — replace only for a unified look"
"cloth-common.webp","Cloth, Common (per 10 square yards)","gear","—","item icon","Cloth common","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/cloth-common.webp; library icon already assigned (icons/commodities/cloth/cloth-roll-tan.webp) — replace only for a unified look"
"cloth-fine.webp","Cloth, Fine (per 10 square yards)","gear","—","item icon","Cloth fine","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/cloth-fine.webp; library icon already assigned (icons/commodities/cloth/cloth-bolt-green.webp) — replace only for a unified look"
"cloth-rich.webp","Cloth, Rich (per 10 square yards)","gear","—","item icon","Cloth rich","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/cloth-rich.webp; library icon already assigned (icons/commodities/cloth/cloth-bolt-gold.webp) — replace only for a unified look"
"coach-ornamented.webp","Coach, Ornamented","gear","—","item icon","Hardwood coach ornamented","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/coach-ornamented.webp; library icon already assigned (icons/environment/settlement/wagon-black.webp) — replace only for a unified look"
"coarse-sugar.webp","Coarse Sugar (per lb.)","gear","—","item icon","Cloth coarse sugar","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/coarse-sugar.webp; library icon already assigned (icons/consumables/food/salt-seasoning-spice-pink.webp) — replace only for a unified look"
"coaster.webp","Coaster","gear","—","item icon","Hardwood coaster","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/coaster.webp; library icon already assigned (icons/environment/settlement/ship.webp) — replace only for a unified look"
"cog.webp","Cog","gear","—","item icon","Hardwood cog","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/cog.webp; library icon already assigned (icons/environment/settlement/ship.webp) — replace only for a unified look"
"common-wine-pitcher.webp","Common Wine (pitcher)","gear","—","item icon","Fired clay pitcher common wine","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/common-wine-pitcher.webp; library icon already assigned (icons/consumables/drinks/pitcher-dripping-white.webp) — replace only for a unified look"
"cow.webp","Cow","gear","—","item icon","Leather cow","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/cow.webp; library icon already assigned (icons/creatures/mammals/livestock-cow-green.webp) — replace only for a unified look"
"crampons.webp","Crampons","gear","—","item icon","Metal crampons","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/crampons.webp; library icon already assigned (icons/tools/hand/claws-climbing.webp) — replace only for a unified look"
"curragh.webp","Curragh","gear","—","item icon","Hardwood curragh","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/curragh.webp; library icon already assigned (icons/environment/vehicles/boat-fishing-masted.webp) — replace only for a unified look"
"dog-guard.webp","Dog, Guard","gear","—","item icon","Leather dog guard","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/dog-guard.webp; library icon already assigned (icons/commodities/treasure/figurine-dog.webp) — replace only for a unified look"
"dog-hunting.webp","Dog, Hunting","gear","—","item icon","Leather dog hunting","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/dog-hunting.webp; library icon already assigned (icons/creatures/mammals/dog-husky-white-blue.webp) — replace only for a unified look"
"dog-war.webp","Dog, War","gear","—","item icon","Leather dog war","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/dog-war.webp; library icon already assigned (icons/creatures/mammals/wolf-shadow-black.webp) — replace only for a unified look"
"donkey-mule-ass.webp","Donkey, Mule, Ass","gear","—","item icon","Leather donkey mule ass","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/donkey-mule-ass.webp; library icon already assigned (icons/environment/creatures/horse-tan.webp) — replace only for a unified look"
"drakkar.webp","Drakkar","gear","—","item icon","Hardwood drakkar","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/drakkar.webp; library icon already assigned (icons/environment/settlement/ship.webp) — replace only for a unified look"
"dromond.webp","Dromond","gear","—","item icon","Hardwood dromond","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/dromond.webp; library icon already assigned (icons/environment/settlement/ship.webp) — replace only for a unified look"
"eggs-or-fresh-vegetables.webp","Eggs or Fresh Vegetables","gear","—","item icon","Cloth eggs or fresh vegetables","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/eggs-or-fresh-vegetables.webp; library icon already assigned (icons/consumables/eggs/egg-speckled-tan.webp) — replace only for a unified look"
"eggs-per-hundred.webp","Eggs (per 100)","gear","—","item icon","Cloth eggs","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/eggs-per-hundred.webp; library icon already assigned (icons/consumables/eggs/eggs-white.webp) — replace only for a unified look"
"elephant-labor.webp","Elephant, Labor","gear","—","item icon","Leather elephant labor","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/elephant-labor.webp; library icon already assigned (icons/commodities/treasure/figurine-rhino.webp) — replace only for a unified look"
"elephant-war.webp","Elephant, War","gear","—","item icon","Leather elephant war","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/elephant-war.webp; library icon already assigned (icons/commodities/treasure/figurine-rhino.webp) — replace only for a unified look"
"falcon-trained.webp","Falcon (trained)","gear","—","item icon","Leather trained falcon","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/falcon-trained.webp; library icon already assigned (icons/creatures/birds/raptor-hawk-flying.webp) — replace only for a unified look"
"figs.webp","Figs (per lb.)","gear","—","item icon","Cloth figs","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/figs.webp; library icon already assigned (icons/consumables/fruit/fig-ripe-purple.webp) — replace only for a unified look"
"firewood.webp","Firewood (per day)","gear","—","item icon","Hardwood firewood","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/firewood.webp; library icon already assigned (icons/commodities/wood/logs-pile-rough-brown.webp) — replace only for a unified look"
"fishhook.webp","Fishhook","gear","—","item icon","Metal fishhook","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/fishhook.webp; library icon already assigned (icons/tools/fishing/hook-simple-steel-grey.webp) — replace only for a unified look"
"fishing-net.webp","Fishing Net, 10 Feet Square","gear","—","item icon","Corded rope fishing net 10 feet square","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/fishing-net.webp; library icon already assigned (icons/tools/fishing/net-simple-brown.webp) — replace only for a unified look"
"flint-and-steel.webp","Flint and Steel","gear","—","item icon","Metal flint and steel","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/flint-and-steel.webp; library icon already assigned (icons/sundries/survival/fire-lighter-brass-lit.webp) — replace only for a unified look"
"galleon.webp","Galleon","gear","—","item icon","Hardwood galleon","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/galleon.webp; library icon already assigned (icons/environment/settlement/ship.webp) — replace only for a unified look"
"girdle.webp","Girdle","gear","—","item icon","Leather girdle","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/girdle.webp; library icon already assigned (icons/equipment/waist/belt-thick-ring-leather-tan.webp) — replace only for a unified look"
"glass-bottle.webp","Glass Bottle","gear","—","item icon","Glass bottle","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/glass-bottle.webp; library icon already assigned (icons/consumables/potions/bottle-round-empty-glass.webp) — replace only for a unified look"
"gloves.webp","Gloves","gear","—","item icon","Leather gloves","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/gloves.webp; library icon already assigned (icons/equipment/hand/gloves-leather-tan.webp) — replace only for a unified look"
"goat.webp","Goat","gear","—","item icon","Leather goat","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/goat.webp; library icon already assigned (icons/creatures/mammals/goat-horned-blue.webp) — replace only for a unified look"
"goose.webp","Goose","gear","—","item icon","Leather goose","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/goose.webp; library icon already assigned (icons/creatures/birds/duck-green.webp) — replace only for a unified look"
"gown-common.webp","Gown, Common","gear","—","item icon","Cloth gown common","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/gown-common.webp; library icon already assigned (icons/equipment/chest/robe-layered-white.webp) — replace only for a unified look"
"grappling-hook.webp","Grappling Hook","gear","—","item icon","Metal grappling hook","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/grappling-hook.webp; library icon already assigned (icons/sundries/survival/climbing-anchor-steel-grey.webp) — replace only for a unified look"
"great-galley.webp","Great Galley","gear","—","item icon","Hardwood great galley","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/great-galley.webp; library icon already assigned (icons/environment/settlement/ship.webp) — replace only for a unified look"
"guinea-hen.webp","Guinea Hen","gear","—","item icon","Leather guinea hen","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/guinea-hen.webp; library icon already assigned (icons/creatures/birds/chicken-hen-green.webp) — replace only for a unified look"
"halter.webp","Halter","gear","—","item icon","Corded rope halter","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/halter.webp; library icon already assigned (icons/sundries/survival/rope-noose-brown.webp) — replace only for a unified look"
"herbs.webp","Herbs (per day)","gear","—","item icon","Cloth herbs","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/herbs.webp; library icon already assigned (icons/consumables/plants/herb-tied-bundle-green.webp) — replace only for a unified look"
"holy-item.webp","Holy Item","gear","—","item icon","Metal holy item","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/holy-item.webp; library icon already assigned (icons/equipment/neck/amulet-carved-stone-cross.webp) — replace only for a unified look"
"honey.webp","Honey","gear","—","item icon","Fired clay honey","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/honey.webp; library icon already assigned (icons/consumables/food/honey-beehive-brown.webp) — replace only for a unified look"
"horse-draft.webp","Horse, Draft","gear","—","item icon","Leather horse draft","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/horse-draft.webp; library icon already assigned (icons/environment/creatures/horses.webp) — replace only for a unified look"
"horse-heavy-war.webp","Horse, Heavy War","gear","—","item icon","Leather horse heavy war","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/horse-heavy-war.webp; library icon already assigned (icons/environment/creatures/horse-brown.webp) — replace only for a unified look"
"horse-light-war.webp","Horse, Light War","gear","—","item icon","Leather horse light war","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/horse-light-war.webp; library icon already assigned (icons/environment/creatures/horse-tan.webp) — replace only for a unified look"
"horse-medium-war.webp","Horse, Medium War","gear","—","item icon","Leather horse medium war","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/horse-medium-war.webp; library icon already assigned (icons/environment/creatures/horse-white.webp) — replace only for a unified look"
"horse-riding.webp","Horse, Riding","gear","—","item icon","Leather horse riding","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/horse-riding.webp; library icon already assigned (icons/environment/creatures/horse-brown.webp) — replace only for a unified look"
"horseshoes-and-shoeing.webp","Horseshoes and Shoeing","gear","—","item icon","Metal horseshoes and shoeing","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/horseshoes-and-shoeing.webp; library icon already assigned (icons/sundries/misc/horseshoe-iron.webp) — replace only for a unified look"
"hose.webp","Hose","gear","—","item icon","Cloth hose","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/hose.webp; library icon already assigned (icons/equipment/leg/pants-green-fabric-pants.webp) — replace only for a unified look"
"hourglass.webp","Hourglass","gear","—","item icon","Hourglass","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/hourglass.webp; library icon already assigned (icons/tools/navigation/hourglass.webp) — replace only for a unified look"
"hunting-cat.webp","Hunting Cat (jaguar, panther, etc.)","gear","—","item icon","Leather hunting cat","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/hunting-cat.webp; library icon already assigned (icons/creatures/mammals/cat-hunched-glowing-red.webp) — replace only for a unified look"
"inn-lodging-common.webp","Inn Lodging, Common (per day/week)","gear","—","item icon","Leather inn lodging common","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/inn-lodging-common.webp; library icon already assigned (icons/environment/settlement/tavern.webp) — replace only for a unified look"
"inn-lodging-common-second-row.webp","Inn Lodging, Common (per day/week) - second listing","gear","—","item icon","Leather inn lodging common (per day/week) - second listing","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/inn-lodging-common-second-row.webp; library icon already assigned (icons/environment/settlement/tavern-tan.webp) — replace only for a unified look"
"iron-pot.webp","Iron Pot","gear","—","item icon","Metal iron pot","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/iron-pot.webp; library icon already assigned (icons/tools/cooking/pot-camping-iron-black.webp) — replace only for a unified look"
"knarr.webp","Knarr","gear","—","item icon","Hardwood knarr","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/knarr.webp; library icon already assigned (icons/environment/settlement/ship.webp) — replace only for a unified look"
"knife-sheath.webp","Knife Sheath","gear","—","item icon","Leather knife sheath","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/knife-sheath.webp; library icon already assigned (icons/sundries/survival/leather-strap-brown.webp) — replace only for a unified look"
"ladder-10-feet.webp","Ladder, 10 Feet","gear","—","item icon","Hardwood ladder 10 feet","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/ladder-10-feet.webp; library icon already assigned (icons/tools/hand/ladder-common-wood.webp) — replace only for a unified look"
"lantern-beacon.webp","Lantern, Beacon","gear","—","item icon","Metal lantern beacon","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/lantern-beacon.webp; library icon already assigned (icons/sundries/lights/lantern-steel.webp) — replace only for a unified look"
"lantern-bullseye.webp","Lantern, Bull's-Eye","gear","—","item icon","Metal lantern bull's-eye","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/lantern-bullseye.webp; library icon already assigned (icons/sundries/lights/lantern-bullseye-signal-copper.webp) — replace only for a unified look"
"lantern-hooded.webp","Lantern, Hooded","gear","—","item icon","Metal lantern hooded","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/lantern-hooded.webp; library icon already assigned (icons/sundries/lights/lantern-iron-yellow.webp) — replace only for a unified look"
"lifestyle-middle-class.webp","Lifestyle, Middle-Class (per month)","gear","—","item icon","Leather lifestyle middle-class","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/lifestyle-middle-class.webp; library icon already assigned (icons/environment/settlement/house-city.webp) — replace only for a unified look"
"lifestyle-poor.webp","Lifestyle, Poor (per month)","gear","—","item icon","Leather lifestyle poor","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/lifestyle-poor.webp; library icon already assigned (icons/environment/settlement/hut.webp) — replace only for a unified look"
"lifestyle-squalid.webp","Lifestyle, Squalid (per month)","gear","—","item icon","Leather lifestyle squalid","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/lifestyle-squalid.webp; library icon already assigned (icons/environment/settlement/building-rubble.webp) — replace only for a unified look"
"lifestyle-wealthy.webp","Lifestyle, Wealthy (per month)","gear","—","item icon","Leather lifestyle wealthy","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/lifestyle-wealthy.webp; library icon already assigned (icons/environment/settlement/house-manor.webp) — replace only for a unified look"
"lock-good.webp","Lock, Good","gear","—","item icon","Metal lock good","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/lock-good.webp; library icon already assigned (icons/sundries/misc/lock-bronze-reinforced.webp) — replace only for a unified look"
"lock-poor.webp","Lock, Poor","gear","—","item icon","Metal lock poor","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/lock-poor.webp; library icon already assigned (icons/sundries/misc/lock-steel-blue.webp) — replace only for a unified look"
"longship.webp","Longship","gear","—","item icon","Hardwood longship","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/longship.webp; library icon already assigned (icons/environment/settlement/ship.webp) — replace only for a unified look"
"magnifying-glass.webp","Magnifying Glass","gear","—","item icon","Magnifying glass","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/magnifying-glass.webp; library icon already assigned (icons/tools/scribal/magnifying-glass.webp) — replace only for a unified look"
"map-or-scroll-case.webp","Map or Scroll Case","gear","—","item icon","Leather map or scroll case","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/map-or-scroll-case.webp; library icon already assigned (icons/containers/bags/case-scroll-leather-tan.webp) — replace only for a unified look"
"meals-common.webp","Meals, Common (per day)","gear","—","item icon","Leather meals common","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/meals-common.webp; library icon already assigned (icons/consumables/food/bowl-stew-brown.webp) — replace only for a unified look"
"meals-good.webp","Meals, Good (per day)","gear","—","item icon","Leather meals good","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/meals-good.webp; library icon already assigned (icons/consumables/food/plate-chicken-grilled-mushroom-brown.webp) — replace only for a unified look"
"meals-poor.webp","Meals, Poor (per day)","gear","—","item icon","Leather meals poor","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/meals-poor.webp; library icon already assigned (icons/consumables/food/soup-broth-bowl-wooden-yellow.webp) — replace only for a unified look"
"meat-one-meal.webp","Meat (one meal)","gear","—","item icon","Cloth one meal meat","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/meat-one-meal.webp; library icon already assigned (icons/consumables/food/steak-cooked-grilled-brown.webp) — replace only for a unified look"
"merchants-scale.webp","Merchant's Scale","gear","—","item icon","Metal merchant's scale","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/merchants-scale.webp; library icon already assigned (icons/tools/hand/scale-balances-merchant-brown.webp) — replace only for a unified look"
"mirror-small-metal.webp","Mirror, Small Metal","gear","—","item icon","Mirror small metal","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/mirror-small-metal.webp; library icon already assigned (icons/sundries/survival/mirror-plain.webp) — replace only for a unified look"
"mittens.webp","Mittens","gear","—","item icon","Cloth mittens","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/mittens.webp; library icon already assigned (icons/equipment/hand/glove-frayed-cloth-grey.webp) — replace only for a unified look"
"musical-instrument.webp","Musical Instrument","gear","—","item icon","Thin wood musical instrument","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/musical-instrument.webp; library icon already assigned (icons/tools/instruments/lute-gold-brown.webp) — replace only for a unified look"
"nuts.webp","Nuts (per lb.)","gear","—","item icon","Cloth nuts","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/nuts.webp; library icon already assigned (icons/consumables/nuts/walnut-shelled-brown.webp) — replace only for a unified look"
"oar-common.webp","Oar, Common","gear","—","item icon","Hardwood oar common","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/oar-common.webp; library icon already assigned (icons/commodities/wood/wood-pole.webp) — replace only for a unified look"
"oar-galley.webp","Oar, Galley","gear","—","item icon","Hardwood oar galley","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/oar-galley.webp; library icon already assigned (icons/commodities/wood/lumber-square-beam.webp) — replace only for a unified look"
"oil-greek-fire.webp","Oil, Greek Fire (per flask)","gear","—","item icon","A stoppered vial of liquid, oil greek fire","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/oil-greek-fire.webp; library icon already assigned (icons/consumables/potions/bottle-conical-corked-yellow.webp) — replace only for a unified look"
"oil-lamp.webp","Oil, Lamp (per flask)","gear","—","item icon","A stoppered vial of liquid, oil lamp","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/oil-lamp.webp; library icon already assigned (icons/consumables/potions/bottle-round-corked-orange.webp) — replace only for a unified look"
"ox.webp","Ox","gear","—","item icon","Leather ox","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/ox.webp; library icon already assigned (icons/creatures/mammals/ox-buffalo-horned-green.webp) — replace only for a unified look"
"paper.webp","Paper (per sheet)","gear","—","item icon","A rolled parchment, paper","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/paper.webp; library icon already assigned (icons/sundries/documents/paper-plain-white.webp) — replace only for a unified look"
"papyrus.webp","Papyrus (per sheet)","gear","—","item icon","A rolled parchment, papyrus","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/papyrus.webp; library icon already assigned (icons/commodities/materials/parchment-secrets.webp) — replace only for a unified look"
"parchment.webp","Parchment (per sheet)","gear","—","item icon","A rolled parchment, parchment","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/parchment.webp; library icon already assigned (icons/sundries/documents/parchment-plain-tan.webp) — replace only for a unified look"
"partridge.webp","Partridge","gear","—","item icon","Leather partridge","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/partridge.webp; library icon already assigned (icons/creatures/birds/birds-flock-fly-yellow.webp) — replace only for a unified look"
"peacock.webp","Peacock","gear","—","item icon","Leather peacock","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/peacock.webp; library icon already assigned (icons/creatures/birds/songbird-yellow-flying.webp) — replace only for a unified look"
"perfume.webp","Perfume (per vial)","gear","—","item icon","Glass perfume","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/perfume.webp; library icon already assigned (icons/consumables/potions/bottle-pear-corked-pink.webp) — replace only for a unified look"
"pig.webp","Pig","gear","—","item icon","Leather pig","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/pig.webp; library icon already assigned (icons/creatures/mammals/livestock-pig-green.webp) — replace only for a unified look"
"pigeon.webp","Pigeon","gear","—","item icon","Leather pigeon","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/pigeon.webp; library icon already assigned (icons/creatures/birds/dove-pigeon-flying-white.webp) — replace only for a unified look"
"pigeon-messenger.webp","Pigeon, Messenger","gear","—","item icon","Leather pigeon messenger","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/pigeon-messenger.webp; library icon already assigned (icons/creatures/birds/dove-pigeon-flying-white.webp) — replace only for a unified look"
"pin.webp","Pin","gear","—","item icon","Metal pin","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/pin.webp; library icon already assigned (icons/tools/fasteners/pin-round.webp) — replace only for a unified look"
"piton.webp","Piton","gear","—","item icon","Metal piton","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/piton.webp; library icon already assigned (icons/tools/fasteners/nail-steel-grey.webp) — replace only for a unified look"
"pony.webp","Pony","gear","—","item icon","Leather pony","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/pony.webp; library icon already assigned (icons/environment/creatures/horse-tan.webp) — replace only for a unified look"
"quiver.webp","Quiver","gear","—","item icon","Leather quiver","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/quiver.webp; library icon already assigned (icons/containers/ammunition/quiver-simple-brown.webp) — replace only for a unified look"
"raft-or-small-keelboat.webp","Raft or Small Keelboat","gear","—","item icon","Hardwood raft or small keelboat","P3","C:/Projects/FoundryVTT/DakksUltimateTokens/art/equipment/raft-or-small-keelboat.webp; library icon already assigned (icons/commodities/wood/lumber-plank-brown.webp) — replace only for a unified look"
